Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Rozen Maiden,TV,12,Finished Airing,10/8/2004,12/24/2004,Fall,Nomad,Manga,"Action,Comedy,Drama,Magic,Seinen",PG-13,7.53,73971,147293,1891
Saiyuuki Reload Gunlock,TV,26,Finished Airing,4/2/2004,9/24/2004,Spring,Studio Pierrot,Manga,"Action,Adventure,Comedy,Fantasy,Josei",PG-13,7.53,5792,15502,47
Tegamibachi: Hikari to Ao no Gensou Yawa,Special,1,Finished Airing,11/24/2008,-,-,Studio Pierrot,Manga,"Adventure,Slice of Life,Supernatural,Fantasy,Shounen",PG-13,7.53,5634,11741,11
Tenchi Muyou!,TV,26,Finished Airing,4/2/1995,9/24/1995,Spring,AIC,Original,"Sci-Fi,Harem,Space,Comedy,Romance,Shounen",PG-13,7.53,23034,46819,487
Tetsuwan Birdy Decode,TV,13,Finished Airing,7/5/2008,9/27/2008,Summer,A-1 Pictures,Manga,"Action,Sci-Fi,Comedy",PG-13,7.53,25380,61282,311
YuGiOh! The Dark Side of Dimensions,Movie,1,Finished Airing,4/23/2016,-,-,Studio Gallop,Manga,"Adventure,Game,Shounen",PG,7.53,12966,26584,105
Chou Denji Machine Voltes V,TV,40,Finished Airing,6/4/1977,3/25/1978,Summer,"Sunrise,Toei Animation",Original,"Action,Adventure,Mecha,Drama,Sci-Fi,Shounen",PG-13,7.52,1936,3896,43
City Hunter: The Secret Service,Special,1,Finished Airing,1/5/1996,-,-,Sunrise,Manga,"Action,Comedy,Mystery,Shounen",PG-13,7.52,1611,3726,1
Danna ga Nani wo Itteiru ka Wakaranai Ken,TV,13,Finished Airing,10/3/2014,12/26/2014,Fall,Seven,4-koma manga,"Slice of Life,Comedy,Romance,Seinen",PG-13,7.52,100820,176694,565
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,Movie,1,Finished Airing,3/4/2000,-,-,Shin-Ei Animation,Manga,"Adventure,Comedy,Fantasy,Historical,Kids,Shounen",PG,7.52,1664,2721,3
Doraemon Movie 28: Nobita to Midori no Kyojin Den,Movie,1,Finished Airing,3/8/2008,-,-,Shin-Ei Animation,-,"Adventure,Comedy,Fantasy,Kids,Shounen",PG,7.52,1366,2362,3
Fate/stay night,TV,24,Finished Airing,1/7/2006,6/17/2006,Winter,Studio Deen,Visual novel,"Action,Supernatural,Magic,Romance,Fantasy",R,7.52,271548,493354,5845
Genshiken Nidaime,TV,13,Finished Airing,7/7/2013,9/29/2013,Summer,Production I.G,Manga,"Slice of Life,Comedy,Parody",R,7.52,16242,35249,85
Gochuumon wa Usagi desu ka??: Dear My Sister,Movie,1,Finished Airing,11/11/2017,-,-,production doA,4-koma manga,"Slice of Life,Comedy",PG-13,7.52,236,11306,26
Hottarake no Shima: Haruka to Mahou no Kagami,Movie,1,Finished Airing,8/22/2009,-,-,"Production I.G,Polygon Pictures",Original,Fantasy,G,7.52,3304,7334,12
Initial D Extra Stage 2,OVA,1,Finished Airing,10/3/2008,-,-,A.C.G.T.,Manga,"Action,Cars,Sports,Drama,Seinen",PG-13,7.52,8260,16213,17
Jibaku-kun,TV,26,Finished Airing,10/5/1999,3/28/2000,Fall,Trans Arts,Manga,"Adventure,Fantasy,Comedy",PG-13,7.52,3979,7592,52
Kamikaze Kaitou Jeanne,TV,44,Finished Airing,2/13/1999,1/29/2000,Winter,Toei Animation,Manga,"Adventure,Comedy,Demons,Drama,Fantasy,Magic,Mystery,Romance,Shoujo",PG-13,7.52,19028,36230,403
